Kalshi,0
Mirpur 12,2.2
Mirpur 10,4.7
Kazipara,6.1
Shewrapara,6.8
Farmgate,11.4
Shahbag,13.7
Polton,15.6
Gulistan,16.6
Rayshaheb Bazar,17.8
Saydabad,18.9
Jatrabari,19.9
Kanchpur,24.8
Pallabi,0
Mirpur 11,1.4
Mirpur 10,2.3
Kazipara,3.7
Farmgate,9
Shahbag,13.2
Mohakhali,14.7
Rayshaheb Bazar,15.7
Gulistan,16.9
Duaripara,0
Mirpur 12,0.9
Mirpur 11.5,1.3
Mirpur 11.5,1.8
Mirpur 11,2.3
Mirpur 10,3.2
Kazipara,4.6
Shewrapara,5.3
Agargaon,7
Dhanmondi,10.6
Shukrabad,11.1
Dhakeshwari Temple,15.1
Duaripara,0
Mirpur 10,2
Mirpur Thana,2.4
Mirpur 1,3.7
Mirpur 1,4.6
Darus Salam,5.5
Asadgate,9.1
Sciencelab,11.8
BUET,14.9
Gulistan,16.7
Pallabi,0
Mirpur 11.5,0.7
Mirpur 11.5,1.1
Mirpur 11,1.5
Mirpur 10,2.6
Kazipara,3.7
Farmgate,9
Polton,13.5
Motijheel,17
Chiriyakhana,0
Mirpur 1,2.7
Darus Salam,3.8
Kollyanpur,5
Shyamoli,5.4
Asadgate,7.2
Farmgate,9
Kawran Bazar,10
Shahbag,11.4
Shahbag,13.1
Motijheel,14.1
Gulistan,17.2
Saydabad,18.3
Mirpur 1,0
Darus Salam,2.2
Kollyanpur,3.2
Shyamoli,3.9
Shukrabad,6.8
Kolabagan,7.4
Sciencelab,8.4
New Market,9.3
Shahbag,11.5
Gulistan,12.5
Bangladesh Bank,13.8
Jatrabari,17.6
Mirpur 12,0
ECB Mor,4.4
Mirpur 10,8.9
Kazipara,10.3
Shewrapara,11
Agargaon,12.7
Shyamoli,14
Farmgate,15.9
Azimpur,22
Mirpur 1,0
Shyamoli,4.6
Asadgate,6.6
Kolabagan,9
Sciencelab,10
New Market,10.6
Nilkhet,10.8
Azimpur,12
Mirpur 14,0
Mirpur 10,2.1
Mirpur 1,3.6
Bangla College,5.3
Shyamoli,7.4
Asadgate,8.9
Shukrabad,9.4
Kolabagan,10.1
Sciencelab,11.9
Shahbag,14.7
Motijheel,17.1
Komlapur,18.1
Basabo,20.9
Khilgaon Railgate,23.3
Khilgaon Taltola,25.7
Chiriyakhana,0
Mirpur 1,1.8
Darus Salam,3.8
Shyamoli,5.4
Asadgate,7.2
Farmgate,9
Shahbag,12.6
Gulistan,13.7
Gulistan,16
Baipail,0
Kamarpara,15.5
Abdullahpur,17.7
Uttara,18.4
Airport,20.7
Khilkhet,23.5
Kuril,24.4
Mohakhali,26.4
Shewrapara,28.4
Mohakhali,30.2
Farmgate,33.1
Shahbag,35.5
Shahbag,37.3
Fulbaria,38.8
Babu Bazar Bridge,40.2
Keraniganj,47.5
Saydabad,0
Bangadesh Bank,2.3
Motijheel,3.4
Shahbag,4
Shahbag,5.2
Farmgate,7.5
Balughat,14.6
Uttara,0
Notun Bazar,11.8
Rampura,15.2
Malibag,18.5
Kakrail,19.3
Gulistan,21
Gulistan,23.3
Banasree,0
Rampura,2.5
Mohakhali,10.2
Agargaon,14.1
Shyamoli,16.7
Mohammadpur,18.2
Motijheel,0
Komlapur,0.5
Bangladesh Bank,1.5
Motijheel,2.8
Polton,3.5
Kakrail,5
Malibag,5.9
Mogbazar,7.2
Bangla Motor,8.2
Farmgate,9.7
Mohakhali,12.6
Gulshan 1,14.5
Gulshan 2,16.1
Notun Bazar,16.7
Chiriyakhana,0
Mirpur 1,2
Darus Salam,4
Shyamoli,5.8
Asadgate,7.3
Kolabagan,8.5
Sciencelab,10.3
Shahbag,12.6
Gulistan,13.7
Motijheel,14.7
Komlapur,16.7
Saydabad,18.7
Jatrabari,20.7
Kanchpur,26.5
Banasree,0
Mirpur 1,5.8
Kakrail,6.7
Shahbag,8.8
Sciencelab,10
Dhanmondi,11.1
Mohammadpur,14
Mohammadpur,0
Shyamoli,2.8
Asadgate,4.4
Sciencelab,7.1
Shahbag,8.6
Kakrail,10.1
Fokirapul,11.3
Bangladesh Bank,12.4
Doyagonj Road,13.9
Jatrabari,16.2
Ghatarchor,0
Mohammadpur,6
Shonkor,6.9
Dhanmondi 15,7.7
Dhanmondi,8.4
New Market,9.2
Sciencelab,9.6
Dhaka College,9.8
New Market,10.2
Azimpur,10.9
Nilkhet,11.9
Dhopkhola,20.5
Mohammadpur,0
Asadgate,2.4
Farmgate,3.9
Mohakhali,7.8
Gulshan 1,8.8
Moddho Badda,9.7
Uttar Badda,10.9
Notun Bazar,11.1
Bashundhara,13.6
Kuril,14.1
Khilkhet,14.6
Airport,17.2
Uttara,18.7
Shyamoli,20.5
Babu Bazar Bridge,0
Fulbaria,3
Polton,4
Mirpur 1,6.6
Malibag,7.6
Rampura,8.6
Moddho Badda,10.6
Notun Bazar,12.6
Kuril,15.1
Airport,18.7
Uttara,21.2
Abdullahpur,22.2
Dhaor Bridge,25.2
Savar,0
Hemayetpur,6.7
Gabtoli,14.3
Darus Salam,15.3
Mohakhali,23
Gulshan 1,25.6
Notun Bazar,27.8
Mirpur 14,0
Mirpur 10,2.3
Mirpur 1,4.2
Sciencelab,4.8
Eastern Housing,9
Dhaor Bridge,17.5
Jirab,23
Fantasy,27.2
Baipail,31
Jirani,36
Nondon Park,40
Chondra,42.5
Baipail,0
Gabtoli,25.9
Kollyanpur,28.3
Farmgate,32.4
Bangladesh Bank,38
Saydabad,40
Mirpur 10,46.2
Baipail,0
Savar,12.8
Gabtoli,25.9
Kollyanpur,28.3
Mirpur 10,29.6
Farmgate,32.4
Bangla Motor,34
Mogbazar,35
Malibag,36.3
Basabo,38.7
Jatrabari,42.3
Narayanganj Link Road,47.5