Asadgate,16456
Abdullahpur,8289
Abul Hotel,17173
Agargaon,38404
Airport,1721
Ajompur,179907
Ansar Camp,67744
Azimpur,44540
BUET,1915
Babu Bazar Bridge,75
Baipal,129560
Balughat,1818
Banasree,34024
Bangabandhu Avenue,416
Bangadesh Bank,1262
Bangla College,3154
Bangla Motor,8897
Bangladesh Bank,210006
Basabo,11657
Bashundhara,21159
Bishyo Road,30174
Chiriyakhana,67744
Chondra,384
Darus Salam,159139
Dhaka College,3236
Dhakeshwari Temple,4531
Dhanmondi,147643
Dhanmondi 15,147643
Dhaor Bridge,15205
Doyagonj Road,2660
Duaripara,21629
Eastern Housing,12589
Farmgate,165367
Fokirapul,22727
Fulbaria,5069
Gabtoli,2756
Ghatarchor,7297
Gulistan,416
Gulshan 1,126525
Gulshan 2,126525
Hemayetpur,6514
Jatrabari,184575
Jigatola,
Jirab,11093
Kakrail,6710
Kalshi,8333
Kamarpara,19784
Kawran Bazar,343
Kazipara,29888
Keraniganj,794360
Khilgaon Railgate,7339
Khilgaon Taltola,7339
Khilkhet,130053
Kolabagan,118660
Kollyanpur,1092
Komlapur,3480
Kuril,30174
Malibag,17173
Mirpur 1,67744
Mirpur 10,45239
Mirpur 11,75546
Mirpur 11.5,75546
Mirpur 12,133264
Mirpur 14,18440
Mirpur Thana,42071
Moddho Badda,46521
Mogbazar,20900
Mohakhali,25932
Mohammadpur,355843
Motijheel,210006
New Market,8281
Nilkhet,3112
Pallabi,596835
Polton,59639
Rampura,224079
Rayshaheb Bazar,577
Saydabad (Ward 84 full),58741
Sciencelab,5619
Shahbag,68140
Shewrapara,49179
Shonkor,17407
Shukrabad,11551
Shyamoli,1103
Uttara,179907